id,question_type,control_type,layer,clean_mf1,corrupt_mf1,patched_mf1,mf1_recovery
7,model_abstraction_and_breakdown,random_region,30,0.2857,0.2857,0.0000,0.0000
7,model_abstraction_and_breakdown,random_region,33,0.2857,0.2857,0.0000,0.0000
7,model_abstraction_and_breakdown,random_region,36,0.2857,0.2857,0.6667,0.0000
8,tradeoff_and_non_monotonicity,random_region,3,0.4615,0.2857,0.0000,0.0000
8,tradeoff_and_non_monotonicity,random_region,7,0.4615,0.2857,0.0000,0.0000
8,tradeoff_and_non_monotonicity,random_region,8,0.4615,0.2857,0.0000,0.0000
8,tradeoff_and_non_monotonicity,random_region,9,0.4615,0.2857,0.0000,0.0000
8,tradeoff_and_non_monotonicity,random_region,10,0.4615,0.2857,0.0000,0.0000
8,tradeoff_and_non_monotonicity,random_region,15,0.4615,0.2857,0.0000,0.0000
8,tradeoff_and_non_monotonicity,random_region,25,0.4615,0.2857,0.2000,0.0000
8,tradeoff_and_non_monotonicity,random_region,30,0.4615,0.2857,0.2000,1.0000
8,tradeoff_and_non_monotonicity,random_region,33,0.4615,0.2857,0.2000,1.0000
8,tradeoff_and_non_monotonicity,random_region,36,0.4615,0.2857,0.3333,1.0000
9,model_abstraction_and_breakdown,random_region,3,0.3636,0.5455,0.0000,0.0000
9,model_abstraction_and_breakdown,random_region,7,0.3636,0.5455,0.0000,0.0000
9,model_abstraction_and_breakdown,random_region,8,0.3636,0.5455,0.0000,0.0000
9,model_abstraction_and_breakdown,random_region,9,0.3636,0.5455,0.0000,0.0000
9,model_abstraction_and_breakdown,random_region,10,0.3636,0.5455,0.0000,0.0000
9,model_abstraction_and_breakdown,random_region,15,0.3636,0.5455,0.0000,0.0000
9,model_abstraction_and_breakdown,random_region,25,0.3636,0.5455,0.0000,0.0000
9,model_abstraction_and_breakdown,random_region,30,0.3636,0.5455,0.0000,0.0000
9,model_abstraction_and_breakdown,random_region,33,0.3636,0.5455,0.0000,0.0000
9,model_abstraction_and_breakdown,random_region,36,0.3636,0.5455,0.2857,1.0000
10,hidden_variable_identification,random_region,3,0.5000,0.7273,0.0000,0.0000
10,hidden_variable_identification,random_region,7,0.5000,0.7273,0.0000,0.0000
10,hidden_variable_identification,random_region,8,0.5000,0.7273,0.0000,0.0000
10,hidden_variable_identification,random_region,9,0.5000,0.7273,0.0000,0.0000
10,hidden_variable_identification,random_region,10,0.5000,0.7273,0.0000,0.0000
10,hidden_variable_identification,random_region,15,0.5000,0.7273,0.0000,0.0000
10,hidden_variable_identification,random_region,25,0.5000,0.7273,0.0000,0.0000
10,hidden_variable_identification,random_region,30,0.5000,0.7273,0.0000,1.0000
10,hidden_variable_identification,random_region,33,0.5000,0.7273,0.0000,0.0000
10,hidden_variable_identification,random_region,36,0.5000,0.7273,0.0000,1.0000
11,tradeoff_and_non_monotonicity,random_region,3,0.5000,0.7143,0.0000,0.0000
11,tradeoff_and_non_monotonicity,random_region,7,0.5000,0.7143,0.0000,0.0000
11,tradeoff_and_non_monotonicity,random_region,8,0.5000,0.7143,0.0000,0.0000
11,tradeoff_and_non_monotonicity,random_region,9,0.5000,0.7143,0.0000,0.0000
11,tradeoff_and_non_monotonicity,random_region,10,0.5000,0.7143,0.0000,0.0000
11,tradeoff_and_non_monotonicity,random_region,15,0.5000,0.7143,0.0000,0.0000
11,tradeoff_and_non_monotonicity,random_region,25,0.5000,0.7143,0.0000,0.0000
11,tradeoff_and_non_monotonicity,random_region,30,0.5000,0.7143,0.0000,0.0000
11,tradeoff_and_non_monotonicity,random_region,33,0.5000,0.7143,0.2222,1.0000
11,tradeoff_and_non_monotonicity,random_region,36,0.5000,0.7143,0.4000,1.0000
12,hidden_variable_identification,random_region,3,0.5000,0.5000,0.0000,0.0000
12,hidden_variable_identification,random_region,7,0.5000,0.5000,0.0000,0.0000
12,hidden_variable_identification,random_region,8,0.5000,0.5000,0.0000,0.0000
12,hidden_variable_identification,random_region,9,0.5000,0.5000,0.0000,0.0000
12,hidden_variable_identification,random_region,10,0.5000,0.5000,0.0000,0.0000
