id,question_type,corruption,layer,component,token_region,clean_mf1,corrupt_mf1,patched_mf1,mf1_recovery,clean_gs,corrupt_gs,patched_gs,gs_recovery,layer_type
0,cross_domain_mapping,no_graph,10,attention,answer_start,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0065,1.0000,candidate
0,cross_domain_mapping,no_graph,10,mlp,answer_start,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0065,1.0000,candidate
0,cross_domain_mapping,no_graph,15,residual,graph_stage,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0000,0.0000,control
0,cross_domain_mapping,no_graph,15,attention,graph_stage,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0000,0.0000,control
0,cross_domain_mapping,no_graph,15,mlp,graph_stage,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0000,0.0000,control
0,cross_domain_mapping,no_graph,15,residual,synthesis_stage,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0065,1.0000,control
0,cross_domain_mapping,no_graph,15,attention,synthesis_stage,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0065,1.0000,control
0,cross_domain_mapping,no_graph,15,mlp,synthesis_stage,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0065,1.0000,control
0,cross_domain_mapping,no_graph,15,residual,answer_start,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0000,1.0000,control
0,cross_domain_mapping,no_graph,15,attention,answer_start,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0000,1.0000,control
0,cross_domain_mapping,no_graph,15,mlp,answer_start,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0000,1.0000,control
0,cross_domain_mapping,no_graph,25,residual,graph_stage,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0130,1.0000,control
0,cross_domain_mapping,no_graph,25,attention,graph_stage,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0130,1.0000,control
0,cross_domain_mapping,no_graph,25,mlp,graph_stage,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0130,1.0000,control
0,cross_domain_mapping,no_graph,25,residual,synthesis_stage,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0130,1.0000,control
0,cross_domain_mapping,no_graph,25,attention,synthesis_stage,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0130,1.0000,control
0,cross_domain_mapping,no_graph,25,mlp,synthesis_stage,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0130,1.0000,control
0,cross_domain_mapping,no_graph,25,residual,answer_start,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0325,0.0000,control
0,cross_domain_mapping,no_graph,25,attention,answer_start,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0325,0.0000,control
0,cross_domain_mapping,no_graph,25,mlp,answer_start,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0325,0.0000,control
0,cross_domain_mapping,no_graph,30,residual,graph_stage,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0065,0.0000,candidate
0,cross_domain_mapping,no_graph,30,attention,graph_stage,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0065,0.0000,candidate
0,cross_domain_mapping,no_graph,30,mlp,graph_stage,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0065,0.0000,candidate
0,cross_domain_mapping,no_graph,30,residual,synthesis_stage,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0195,1.0000,candidate
0,cross_domain_mapping,no_graph,30,attention,synthesis_stage,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0195,1.0000,candidate
0,cross_domain_mapping,no_graph,30,mlp,synthesis_stage,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0195,1.0000,candidate
0,cross_domain_mapping,no_graph,30,residual,answer_start,0.8000,0.6667,0.0000,0.0000,0.5325,0.5065,0.0455,1.0000,candidate
