question_type,n_questions,most_common_closest,avg_thinking_gap,avg_graph_gap,avg_synthesis_gap,avg_graph_answer_gap,avg_layer36_divergence,avg_early_peak_7_10
causal_multiscale_reasoning,1,qwen_thinking,0.0595,0.062,0.1022,0.106,0.28,0.12
cross_domain_mapping,2,qwen_thinking,0.0527,0.1437,0.1553,0.1071,0.3415,0.239
hidden_variable_identification,58,graph_answer,0.1864,0.1145,0.1085,0.0888,0.1724,0.0698
model_abstraction_and_breakdown,22,graph_answer,0.0799,0.1037,0.0736,0.0632,0.179,0.1107
tradeoff_and_non_monotonicity,17,graph_answer,0.1039,0.091,0.0919,0.0683,0.2087,0.1001
